,Longitude,Latitude,avg,COUNTRY,SPECIES NAME,DBH-1,DBH-2,NFI,FF,BS
0,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,-9999,-9999,1,-9999
1,13.25,47.25,12.253571428571428,Austria,Abies alba,1,1,1,-9999,-9999
2,13.25,48.25,15.326190476190474,Austria,Abies alba,1,1,1,-9999,-9999
3,10.25,47.25,12.841071428571427,Austria,Abies alba,-9999,1,1,-9999,-9999
4,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
5,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,-9999,-9999,-9999,1
6,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
7,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
8,15.25,47.25,13.53690476190476,Austria,Abies alba,1,1,1,-9999,-9999
9,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
10,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
11,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
12,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
13,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
14,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
15,15.25,48.25,15.206547619047619,Austria,Abies alba,-9999,1,1,-9999,-9999
16,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
17,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
18,14.25,48.25,16.019047619047623,Austria,Abies alba,-9999,1,1,-9999,-9999
19,16.25,48.25,16.19821428571429,Austria,Abies alba,-9999,1,1,-9999,-9999
20,13.25,47.25,12.253571428571428,Austria,Abies alba,-9999,1,1,-9999,-9999
21,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
22,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
23,15.25,47.25,13.53690476190476,Austria,Abies alba,1,-9999,1,-9999,-9999
24,14.25,49.25,14.766666666666667,Austria,Abies alba,-9999,1,1,-9999,-9999
25,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
26,13.25,48.25,15.326190476190474,Austria,Abies alba,1,1,1,-9999,-9999
27,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
28,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,1,1,-9999,-9999
29,13.25,47.25,12.253571428571428,Austria,Abies alba,1,1,1,-9999,-9999
30,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
31,14.25,47.25,12.201785714285714,Austria,Abies alba,-9999,1,1,-9999,-9999
32,13.25,48.25,15.326190476190474,Austria,Abies alba,-9999,1,1,-9999,-9999
33,15.25,47.25,13.53690476190476,Austria,Abies alba,-9999,-9999,-9999,1,1
34,16.25,47.25,15.988690476190477,Austria,Abies alba,-9999,1,1,-9999,-9999
35,11.25,47.25,14.820833333333335,Austria,Abies alba,-9999,1,1,-9999,-9999
